Row 001: ['  BILL OF MATERIALS — Customer-Specific', None, None, None, None, None, None, None, None, None, None]
Row 002: ['Product ID', 'BOM ID', 'Customer', 'Product Name', 'Dia', 'Material Category', 'Item ID', 'Item Name', 'UOM', 'Per 1000 Units', 'Material Group']
Row 081: [6556, 186, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 39 SMALL PURPLE', 20.5, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.059, 'Packing Tape']
Row 082: [6557, 185, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 41 SMALL PURPLE', 20.5, 'SLUG', 4179, '20.5x4.5', 'kg', 3.937, 'Aluminum Slugs']
Row 083: [6557, 185, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 41 SMALL PURPLE', 20.5, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.385, 'Base Coat']
Row 084: [6557, 185, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 41 SMALL PURPLE', 20.5, 'CAP', 6971, 'M-9 S/M SPR WHITE DIA 20.5MM', 'PCS', 1000, 'Caps']
Row 085: [6557, 185, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 41 SMALL PURPLE', 20.5, 'CARTON', 3619, '20.5x510 5ply', 'PCS', 1.9607, 'Cartons']
Row 086: [6557, 185, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 41 SMALL PURPLE', 20.5, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.00409, 'Zinc Stearate']
Row 087: [6557, 185, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 41 SMALL PURPLE', 20.5, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'L', 0.24, 'Lacquer']
Row 088: [6557, 185, 'Samsol International Private Limited', 'SAMSOL HAIR COLOR 41 SMALL PURPLE', 20.5, 'TAPE', 3635, 'PACKING TAPE 2" OF 60 YARDS', 'PCS', 0.059, 'Packing Tape']
Row 089: [6228, 150, 'Mablay Beauty PVT LTD.', 'HIS ONLY HAIR COLOR CREAM 40GM', 25, 'SLUG', 6, '25X4.5 S/M', 'kg', 5.97, 'Aluminum Slugs']
Row 090: [6228, 150, 'Mablay Beauty PVT LTD.', 'HIS ONLY HAIR COLOR CREAM 40GM', 25, 'BASE COAT', 3595, 'POLYSTER BASE COAT WHITE 234', 'kg', 0.612, 'Base Coat']
Row 091: [6228, 150, 'Mablay Beauty PVT LTD.', 'HIS ONLY HAIR COLOR CREAM 40GM', 25, 'LATEX', 186, 'LATEX IMP 574010002', 'kg', 0.25, 'Latex']
Row 092: [6228, 150, 'Mablay Beauty PVT LTD.', 'HIS ONLY HAIR COLOR CREAM 40GM', 25, 'CAP', 68, 'M-11 S/M SPR WHITE DIA 25MM', 'PCS', 1000, 'Caps']
Row 093: [6228, 150, 'Mablay Beauty PVT LTD.', 'HIS ONLY HAIR COLOR CREAM 40GM', 25, 'CARTON', 3598, '25x336 5Ply', 'PCS', 2.976, 'Cartons']
Row 094: [6228, 150, 'Mablay Beauty PVT LTD.', 'HIS ONLY HAIR COLOR CREAM 40GM', 25, 'ZINC POWDER', 194, 'ZINC STEARATE', 'kg', 0.00615385, 'Zinc Stearate']
Row 095: [6228, 150, 'Mablay Beauty PVT LTD.', 'HIS ONLY HAIR COLOR CREAM 40GM', 25, 'LACQUER', 4155, 'E/P LACQUER 4000 A/R', 'kg', 0.292, 'Lacquer']
